A1,A2,A3,A4,A5,A6,A7,A8,DELTA
0.02162996,0.021802578,0.02389317,0.037740946,0.021361444,0.036244926,0.024986415,0.01859956,0.000148991
0.033463863,0.034288592,0.038316339,0.033521402,0.030318385,0.021898476,0.023509575,0.022147813,0.000132984
0.038105361,0.031545888,0.037740946,0.020939489,0.026597514,0.038143721,0.036801139,0.022166993,0.000107994
0.019443469,0.036762779,0.030184126,0.034307772,0.035324298,0.023413676,0.033866638,0.019903783,0.000148477
0.029436116,0.020939489,0.031737686,0.032984369,0.023394497,0.025657707,0.025926223,0.020057221,0.000165065
0.026424896,0.024372664,0.021399803,0.031699326,0.020402456,0.03292683,0.035113321,0.036858678,9.62E-05
0.032006202,0.038009463,0.026520795,0.021879297,0.020805231,0.03294601,0.035036602,0.031641787,8.27E-05
0.02843877,0.028151073,0.024276765,0.027825018,0.033329605,0.019251672,0.030145767,0.023317778,0.000150361
0.038373878,0.020786051,0.028707286,0.02237797,0.038162901,0.028611387,0.033483043,0.038527316,9.48E-05
0.0215916,0.025235752,0.019616087,0.034979063,0.033943357,0.030222486,0.024391843,0.022608127,0.000144836
0.031066395,0.037913564,0.025926223,0.019731165,0.02241633,0.038335518,0.025868684,0.022109454,0.000113571
0.032504876,0.029647094,0.032274719,0.021035388,0.018944796,0.030797878,0.031756866,0.019942142,0.00013769
0.022915003,0.024238405,0.023509575,0.021342264,0.030088228,0.022051914,0.029532015,0.033176167,0.000107713
0.033617301,0.023528755,0.032984369,0.038086182,0.037069655,0.023720552,0.022032735,0.035669534,8.92E-05
0.02161078,0.032293898,0.026041301,0.028189433,0.019807884,0.035381837,0.020594254,0.024238405,0.000105336
0.020038041,0.019903783,0.028016815,0.021783398,0.029014162,0.028975802,0.029800532,0.033578941,0.000112469
0.035592815,0.029301858,0.021668319,0.030395104,0.033195346,0.023989069,0.033214526,0.018120067,0.000184524
0.035113321,0.019731165,0.030414283,0.028151073,0.035362658,0.028668927,0.030069048,0.020728512,0.000159998
0.025178213,0.030184126,0.021898476,0.036801139,0.032389797,0.023260238,0.018944796,0.032869291,9.80E-05
0.038431417,0.022991722,0.022454689,0.028055175,0.037108015,0.018388583,0.038604035,0.026501615,0.000146512
0.025139853,0.030567721,0.030280025,0.018963975,0.023452036,0.018772178,0.022071094,0.02617556,0.000120006
0.022972542,0.024564461,0.03595723,0.027940096,0.027863377,0.030491002,0.037836845,0.035439377,8.58E-05
0.028668927,0.033233706,0.031584248,0.034250232,0.038373878,0.022895823,0.027882557,0.018542021,0.000165098
0.019462649,0.019558547,0.020939489,0.029819711,0.035535275,0.025274112,0.034902344,0.03893009,0.000115973
0.031622607,0.031085574,0.024967236,0.02467954,0.034768086,0.024909696,0.030203306,0.019462649,0.000161594
0.028975802,0.031795225,0.025465909,0.036590161,0.022205352,0.022780745,0.034326951,0.030912957,9.92E-05
0.034691367,0.031756866,0.019750345,0.026271458,0.026731772,0.02767158,0.019654446,0.027940096,0.000116799
0.028362051,0.034115974,0.034346131,0.027326344,0.03520922,0.020536714,0.02013394,0.022838284,0.000132458
0.020325737,0.027383884,0.018120067,0.022435509,0.033809098,0.026463256,0.033924177,0.030356744,0.000120725
0.018043348,0.035688713,0.017909089,0.021994375,0.018714639,0.028918263,0.035132501,0.024717899,0.000131837
0.01934757,0.01859956,0.035535275,0.019616087,0.037971103,0.035113321,0.02769076,0.038815012,0.000101377
0.031219833,0.028131894,0.024238405,0.031066395,0.03666688,0.023490395,0.033118628,0.02688521,0.000121783
0.035094141,0.032830931,0.032102101,0.018139246,0.034998243,0.032121281,0.019136593,0.018772178,0.000142402
0.029858071,0.023471216,0.03369402,0.029704633,0.022051914,0.021418983,0.027997635,0.028323691,0.000116045
0.022224532,0.038086182,0.0231068,0.037951923,0.020210659,0.02387399,0.018522841,0.021495702,0.000142022
0.024545281,0.024986415,0.036283286,0.031047215,0.020440816,0.029589554,0.023682193,0.019174953,0.000144735
0.033080268,0.023547935,0.029359397,0.029340218,0.038604035,0.029992329,0.022972542,0.018983155,0.000155168
0.030433463,0.023030081,0.03444203,0.034211873,0.028592208,0.022742385,0.035477736,0.027249625,0.000120595
0.024506922,0.020421636,0.020920309,0.019002335,0.026386537,0.033003549,0.022934183,0.037568328,0.000107561
0.03818208,0.0352284,0.022301251,0.024161686,0.022627307,0.030299205,0.02391235,0.034844805,8.51E-05
0.018120067,0.018254325,0.026213919,0.035573635,0.035554455,0.036590161,0.02086277,0.032217179,0.000119708
0.026635874,0.0291676,0.026079661,0.032715853,0.028477129,0.026961929,0.032735033,0.03672442,8.23E-05
0.025696066,0.018542021,0.019117413,0.034576288,0.026616694,0.033904997,0.029321038,0.022934183,0.000162126
0.036935397,0.035132501,0.019251672,0.021687499,0.031239012,0.029819711,0.038584855,0.035305118,9.42E-05
0.021898476,0.034691367,0.027134547,0.034557108,0.018868077,0.037203913,0.01788991,0.03444203,7.03E-05
0.03517086,0.028707286,0.021457342,0.025811144,0.021840937,0.020575074,0.037798485,0.025254932,0.000140757
0.027134547,0.037817665,0.03741489,0.02314516,0.01938593,0.033751559,0.025830324,0.01787073,0.000131821
0.037376531,0.02686603,0.038584855,0.029742992,0.037376531,0.02690439,0.023068441,0.034998243,7.90E-05
0.025043955,0.025159033,0.037856025,0.017985808,0.027786658,0.027057828,0.030778699,0.030855418,9.68E-05
