A1,A2,DELTA
0.023467926,0.016955051,3.70E-05
0.022420897,0.006946163,0.000152399
0.013884949,0.01354777,7.56E-05
0.023609896,0.016830827,3.72E-05
0.019546004,0.01312186,5.88E-05
0.007407566,0.021231898,0.000152238
0.015979007,0.014435083,6.17E-05
0.010442176,0.006112089,0.000249911
0.023148494,0.020113884,3.06E-05
0.015553097,0.021853017,4.50E-05
0.019120094,0.018800661,3.96E-05
0.023237225,0.008933744,9.75E-05
0.018871647,0.020255854,3.74E-05
0.01439959,0.018357005,5.61E-05
0.010956817,0.008436849,0.000157452
0.018534468,0.023503419,3.40E-05
0.0188539,0.011755398,6.99E-05
0.019776705,0.016617872,4.36E-05
0.006484761,0.017966588,0.000200508
0.019244318,0.00966134,9.24E-05
0.015251411,0.014860993,6.28E-05
0.015872529,0.00994528,9.81E-05
0.012021592,0.005845896,0.000249742
0.018250528,0.011347235,7.49E-05
0.020415571,0.007833476,0.000127152
0.019102348,0.009164445,0.000100699
0.011435966,0.016049992,8.34E-05
0.010992309,0.009270923,0.000140682
0.015180426,0.008915998,0.000117524
0.014985217,0.021764286,4.75E-05
0.01354777,0.014931978,7.11E-05
0.005987866,0.020504302,0.000225883
0.017274484,0.012074831,7.14E-05
0.017469692,0.013015383,6.44E-05
0.010797101,0.009448385,0.000140001
0.015996753,0.016458156,5.42E-05
0.024568194,0.023361449,2.47E-05
0.010672877,0.021906256,8.01E-05
0.017416454,0.007478551,0.00014509
0.01468353,0.009128953,0.000115869
0.019386288,0.020415571,3.61E-05
0.010282459,0.010726116,0.000129543
0.022988778,0.022988778,2.69E-05
0.014843247,0.019333049,5.20E-05
0.012252294,0.023272718,6.25E-05
0.010566399,0.015535351,9.50E-05
0.005934627,0.00696391,0.000351811
0.007726999,0.020326839,0.000142622
0.008507834,0.021054436,0.000119344
0.012536234,0.008685296,0.000137353
0.022829061,0.019084602,3.29E-05
0.014772262,0.009963027,0.000102442
0.008986983,0.017061529,0.000116443
0.021267391,0.020007407,3.34E-05
0.023982568,0.013707486,4.88E-05
0.010601892,0.013742979,0.0001023
0.014222128,0.016138723,6.29E-05
0.017593916,0.015322396,5.30E-05
0.014949724,0.020965705,4.88E-05
0.005881388,0.015127187,0.000248152
0.018765169,0.008028685,0.000125601
0.014364098,0.013334815,7.43E-05
0.007709252,0.024035807,0.000137919
0.015588589,0.008862759,0.000116843
0.020947958,0.01644041,4.20E-05
0.009732325,0.020752749,9.52E-05
0.01956375,0.022261181,3.31E-05
0.022704837,0.007904461,0.000121116
0.020841481,0.022349912,3.07E-05
0.023521165,0.008419103,0.000107453
0.021498092,0.018179543,3.66E-05
0.022846808,0.021107675,2.95E-05
0.022367659,0.021657808,2.93E-05
0.016600126,0.008880505,0.000112786
0.0174342,0.020273601,4.10E-05
0.011364981,0.024337493,6.96E-05
0.021285137,0.007052641,0.000150526
0.005757164,0.02231442,0.000239343
0.024852134,0.0174342,3.43E-05
0.010779354,0.010708369,0.000123379
0.009483878,0.010495414,0.000144556
0.006165328,0.010956817,0.000254381
0.019333049,0.014949724,5.02E-05
0.010885832,0.011524697,0.000114042
0.020983451,0.020042899,3.38E-05
0.006200821,0.018037573,0.000217147
0.012518487,0.018232781,6.80E-05
0.019652482,0.024816642,3.03E-05
0.023396941,0.005881388,0.000202878
0.016493648,0.017132514,5.05E-05
0.017309976,0.006644477,0.000177299
0.014807754,0.011081041,8.92E-05
0.014577053,0.006697716,0.00018577
0.0148255,0.01658238,5.86E-05
0.018126304,0.023663135,3.48E-05
0.016795335,0.011435966,7.82E-05
0.018215035,0.024319747,3.39E-05
0.01658238,0.013955934,6.19E-05
0.00923543,0.021569077,0.000102829
0.024479463,0.015073948,4.21E-05
0.015695067,0.018019826,5.12E-05
0.008774028,0.017931095,0.000118911
0.021959495,0.011648921,6.51E-05
0.023769613,0.019510512,3.10E-05
0.013175099,0.019599243,6.07E-05
0.024781149,0.015730559,3.94E-05
0.014701277,0.008774028,0.000122473
0.020255854,0.023645389,3.03E-05
0.021072182,0.010655131,7.61E-05
0.015801544,0.018445736,4.98E-05
0.018073065,0.021214152,3.79E-05
0.01368974,0.016937305,6.34E-05
0.019918676,0.012518487,6.19E-05
0.015286903,0.021001197,4.73E-05
0.022651599,0.01757617,3.64E-05
0.018942632,0.021994987,3.48E-05
0.012447502,0.014151143,8.20E-05
0.015606336,0.008294879,0.000128921
0.01425762,0.020167123,5.33E-05
0.015340142,0.016972797,5.52E-05
0.025136074,0.011595682,6.16E-05
0.008685296,0.023006524,0.000112498
0.021214152,0.019457273,3.45E-05
0.006467015,0.010885832,0.000236823
0.005668433,0.01383171,0.000270715
0.020788242,0.023183986,2.98E-05
0.024213269,0.011950607,5.97E-05
0.016937305,0.016475902,5.10E-05
0.019936422,0.011010056,7.44E-05
0.022935539,0.020575287,3.02E-05
0.00852558,0.012145816,0.000148712
0.020646272,0.013476785,5.47E-05
0.017753632,0.01368974,5.98E-05
0.006839686,0.022207942,0.000174302
0.01454156,0.022793569,4.84E-05
0.013530024,0.008649804,0.000131322
0.018676438,0.020664018,3.72E-05
0.010122743,0.013760725,0.000108647
0.025065089,0.013849456,4.69E-05
0.020131631,0.009750072,8.93E-05
0.023113001,0.020539794,3.00E-05
0.00639603,0.025082836,0.000192659
0.011595682,0.009537117,0.000130069
0.017611662,0.009324162,0.00010175
0.006644477,0.019226572,0.000189149
0.023201733,0.006875178,0.00015375
0.01927981,0.018108558,4.07E-05
0.015233664,0.013778471,6.79E-05
0.02174654,0.01913784,3.42E-05
0.008827266,0.013104114,0.000135467
0.024337493,0.017682647,3.42E-05
0.019812198,0.005686179,0.000224785
0.0160145,0.015961261,5.57E-05
0.011755398,0.020451063,7.05E-05
0.024142284,0.012642711,5.49E-05
0.014594799,0.011152026,8.95E-05
0.011613428,0.019741213,7.30E-05
0.018232781,0.00767376,0.000136766
0.022403151,0.019936422,3.19E-05
0.018303766,0.007496297,0.000142008
0.02345018,0.023290464,2.60E-05
0.023929329,0.016813081,3.69E-05
0.017664901,0.021480346,3.86E-05
0.016120977,0.008756281,0.000116903
0.00625406,0.024923119,0.000201089
0.018800661,0.008223894,0.000120655
0.012323279,0.016742096,7.33E-05
0.007638267,0.005828149,0.000327681
0.011577936,0.018836154,7.50E-05
0.015908022,0.015357888,5.82E-05
0.023414688,0.019208825,3.19E-05
0.009412893,0.018924885,0.000103873
0.019670228,0.012003846,6.62E-05
0.02316624,0.006981656,0.000149679
0.012607219,0.014204382,8.06E-05
0.023361449,0.009590355,8.64E-05
0.023645389,0.024710164,2.44E-05
0.005792657,0.007212357,0.000352867
0.007230104,0.011861876,0.000191756
0.018463483,0.011223011,7.56E-05
0.023219479,0.013388054,5.14E-05
0.024869881,0.020149377,2.87E-05
0.011666667,0.008703043,0.000144361
0.006307298,0.010601892,0.000249138
0.022953285,0.012341025,5.84E-05
0.006076597,0.02302427,0.000215291
0.009714579,0.014293113,0.000112398
0.013157353,0.017877856,6.43E-05
0.021817525,0.006892925,0.000155643
0.008365864,0.022651599,0.000120682
0.0119861,0.020060646,6.90E-05
0.006697716,0.007975446,0.000273041
0.015961261,0.016848573,5.32E-05
0.02359215,0.013299323,5.15E-05
0.024603687,0.024852134,2.33E-05
0.021143167,0.007620521,0.000131834
0.015677321,0.011684413,8.00E-05
0.018907139,0.006449268,0.000181928
0.007868969,0.012110324,0.000167183
0.005845896,0.019102348,0.000239116
0.00980331,0.010779354,0.000136033
0.012057085,0.010264713,0.000115701
0.015641828,0.013246084,6.91E-05
0.022048226,0.014648038,4.68E-05
0.025011851,0.011542443,6.22E-05
0.02089472,0.010317952,8.03E-05
0.013050875,0.012589472,8.66E-05
0.022012734,0.022083719,2.93E-05
0.008472341,0.00838361,0.000200502
0.005703926,0.014914232,0.000262866
0.009537117,0.024692418,9.37E-05
0.006023358,0.007301089,0.000332997
0.012003846,0.012199055,9.74E-05
0.023290464,0.018747423,3.30E-05
0.012855666,0.014097904,7.93E-05
0.005970119,0.010992309,0.000267355
0.009750072,0.013157353,0.000117687
0.015056202,0.024905373,4.39E-05
0.01700829,0.008454595,0.000120266
0.012465249,0.014239874,8.15E-05
0.013742979,0.0134058,7.72E-05
0.022083719,0.010637384,7.47E-05
0.008401356,0.009998519,0.000173599
0.018179543,0.006094343,0.000203054
0.010655131,0.014026919,0.000100198
0.012482995,0.015712813,7.53E-05
0.011382727,0.00895149,0.000142241
0.021711047,0.024053553,2.75E-05
0.01615647,0.018960378,4.74E-05
0.024923119,0.013938188,4.66E-05
0.012731442,0.024639179,5.75E-05
0.015038456,0.006076597,0.000215726
0.010708369,0.010513161,0.000126452
0.017806871,0.020735003,3.93E-05
0.012110324,0.007194611,0.000181797
0.019847691,0.021924002,3.30E-05
0.024656925,0.020557541,2.83E-05
0.016067738,0.0188539,4.80E-05
0.008028685,0.011471458,0.000167408
0.025100582,0.009217684,9.01E-05
0.015925768,0.023219479,4.20E-05
0.006271806,0.024497209,0.0002007
0.022758076,0.01156019,6.47E-05
0.00951937,0.020593033,9.91E-05
0.006183075,0.010104997,0.000262726
0.009892042,0.025171567,8.74E-05
0.013015383,0.010140489,0.000109988
0.024053553,0.023237225,2.54E-05
0.020042899,0.013210591,5.73E-05
0.009838803,0.008330371,0.000174857
0.018498975,0.013033129,6.16E-05
0.015322396,0.020238108,4.83E-05
0.022385405,0.006910671,0.000153853
0.012358771,0.017168006,7.18E-05
0.015091694,0.02330821,4.53E-05
0.006058851,0.009572609,0.000278242
0.013317069,0.020646272,5.81E-05
0.013654248,0.022704837,5.33E-05
