A1,A2,A3,A4,A5,A6,A7,A8,DELTA
0.019512493,0.037577336,0.030715496,0.035016649,0.036076934,0.023653603,0.034556526,0.019992621,0.000145938
0.029935287,0.021072911,0.032335931,0.033636279,0.023633597,0.02599423,0.026274305,0.020152664,0.000162365
0.026794445,0.024653871,0.02155304,0.03229592,0.020512761,0.033576263,0.035856875,0.037677363,9.35E-05
0.032616006,0.038877684,0.026894472,0.022053174,0.020932873,0.033596268,0.035776853,0.032235904,7.97E-05
0.028895008,0.028594928,0.024553844,0.028254836,0.033996376,0.019312439,0.030675485,0.023553576,0.000147405
0.039257786,0.020912868,0.029175083,0.022573313,0.039037727,0.029075056,0.034156419,0.039417829,9.21E-05
0.021753093,0.025554112,0.019692541,0.035716837,0.034636547,0.030755507,0.024673876,0.022813378,0.000141819
0.031635743,0.038777658,0.026274305,0.019812573,0.022613324,0.039217776,0.026214289,0.022293238,0.000110647
0.033136145,0.030155346,0.032896081,0.021172938,0.018992353,0.031355668,0.032355936,0.020032632,0.000134743
0.023133463,0.024513833,0.02375363,0.021493024,0.030615469,0.022233222,0.030035314,0.033836333,0.000104634
0.034296456,0.023773635,0.033636279,0.038957706,0.037897422,0.023973689,0.022213217,0.03643703,8.63E-05
0.021773099,0.032916086,0.026394338,0.028634938,0.019892594,0.03613695,0.020712814,0.024513833,0.000102119
0.020132659,0.019992621,0.02845489,0.021953147,0.029495169,0.029455158,0.030315389,0.034256445,0.000109778
0.036357009,0.029795249,0.021833115,0.030935555,0.033856338,0.024253764,0.033876344,0.018132122,0.00018217
0.035856875,0.019812573,0.03095556,0.028594928,0.036116944,0.029135072,0.030595464,0.020852852,0.000157198
0.025494096,0.030715496,0.022073179,0.037617347,0.033016113,0.02349356,0.018992353,0.033516247,9.49E-05
0.039317802,0.023213485,0.022653335,0.028494901,0.037937432,0.018412198,0.039497851,0.026874466,0.000143373
0.025454086,0.031115603,0.030815523,0.019012358,0.023693614,0.018812305,0.022253227,0.026534375,0.000116837
0.023193479,0.024853925,0.036737111,0.028374869,0.028294847,0.031035582,0.038697636,0.036196966,8.29E-05
0.029135072,0.033896349,0.032175888,0.034956633,0.039257786,0.023113458,0.028314853,0.01857224,0.000162843
0.019532498,0.019632525,0.021072911,0.030335394,0.036296993,0.025594123,0.035636816,0.039837942,0.000113599
0.032215898,0.031655748,0.025274037,0.024973957,0.035496778,0.025214021,0.030735501,0.019532498,0.000158897
0.029455158,0.032395947,0.025794177,0.037397288,0.022393265,0.022993426,0.035036655,0.0314757,9.61E-05
0.035416757,0.032355936,0.019832578,0.026634402,0.027114531,0.028094794,0.019732552,0.028374869,0.000113777
0.028814987,0.034816596,0.03505666,0.027734697,0.035956901,0.020652798,0.020232686,0.023053442,0.000129652
0.020432739,0.027794713,0.018132122,0.022633329,0.03449651,0.026834456,0.034616542,0.030895544,0.000117954
0.018052101,0.036457035,0.017912063,0.022173206,0.018752289,0.029395142,0.03587688,0.025013968,0.000129211
